	T6	T7
D445	T2	0.76735049
D446	T2	0.78432250
D447	T6	0.50611061
D448	T3	0.57357401
D449	T0	0.41351971
D450	T2	0.88535810
D451	T2	0.83125085
D452	T2	0.87130886
D453	T2	0.76174039
D454	T2	0.79651117
D455	T2	0.80103874
D456	T2	0.57706487
D457	T2	0.72070926
D458	T1	0.43840277
D459	T2	0.93493181
D460	T2	0.88919377
D461	T2	0.53829688
D462	T0	0.39521796
D463	T2	0.60138005
D464	T2	0.65606803
D465	T2	0.58396339
D466	T2	0.85510153
D467	T2	0.73535287
D468	T2	0.72398794
D469	T2	0.69048715
D470	T2	0.66182929
D471	T3	0.69089687
D472	T1	0.57147127
D473	T3	0.37184048
D474	T4	0.34057981
D475	T3	0.86107761
D476	T3	0.84253317
D477	T7	0.57504052
D478	T6	0.49907994
D479	T4	0.47459096
D480	T1	0.64309072
D481	T7	0.54762018
D482	T0	0.40374970
D483	T6	0.41960761
D484	T2	0.75892889
D485	T2	0.78881198
D486	T2	0.85401553
D487	T1	0.52266759
D488	T2	0.36480168
D489	T7	0.51056474
D490	T1	0.36894271
D491	T4	0.49248946
D492	T2	0.52228129
D493	T7	0.29006121
D494	T2	0.86944163
D495	T2	0.91464424
D496	T1	0.76519060
D497	T1	0.72710794
D498	T0	0.62306172
D499	T6	0.38244826
D500	T5	0.46695408
D501	T1	0.41893160
D502	T0	0.42833894
D503	T6	0.46653691
D504	T2	0.69514203
D505	T0	0.48586145
D506	T0	0.39322573
D507	T3	0.82508284
D508	T7	0.52571297
D509	T7	0.61814702
D510	T3	0.55132651
D511	T6	0.56880331
D512	T3	0.83336383
D513	T7	0.63213676
D514	T3	0.61487406
D515	T7	0.52279925
D516	T3	0.57518971
D517	T3	0.64449865
D518	T3	0.38652360
D519	T3	0.59228259
D520	T2	0.50355738
D521	T3	0.54818469
D522	T3	0.50212842
D523	T5	0.36608383
D524	T3	0.63950372
D525	T3	0.84447038
D526	T3	0.83200270
D527	T6	0.40351114
D528	T2	0.63300347
D529	T2	0.46441802
D530	T1	0.37374628
D531	T3	0.69931573
D532	T2	0.65073246
D533	T5	0.84558171
D534	T5	0.73150569
D535	T3	0.39693323
D536	T5	0.61873621
D537	T5	0.75214964
D538	T5	0.52025485
D539	T5	0.74671155
D540	T5	0.56959009
D541	T5	0.69367468
D542	T5	0.60607308
D543	T5	0.62424850
D544	T5	0.40448275
D545	T5	0.79150146
D546	T5	0.64827365
D547	T5	0.49390870
D548	T5	0.72271717
D549	T5	0.53667897
D550	T5	0.55724365
D551	T5	0.81088996
D552	T5	0.50661492
D553	T5	0.40258053
D554	T5	0.74199402
D555	T5	0.71110058
D556	T5	0.61558878
D557	T5	0.68652099
D558	T0	0.38427806
D559	T5	0.79688692
D560	T3	0.47846237
D561	T5	0.74275047
D562	T5	0.59384704
D563	T2	0.83458275
D564	T2	0.67314410
D565	T2	0.63218546
D566	T2	0.70132083
D567	T2	0.59132904
D568	T2	0.59541351
D569	T2	0.76876152
D570	T2	0.86028904
D571	T2	0.55166197
D572	T2	0.70871192
D573	T2	0.78631788
D574	T3	0.34600726
D575	T5	0.49037841
D576	T2	0.58143556
