	T0	T1	T2	T3	T4	T5	T6	T7
D546	0.00130275	0.00047120	0.00128126	0.18280992	0.00742165	0.64827365	0.00068830	0.15775128
D547	0.00190690	0.00068972	0.01937566	0.24133870	0.13336495	0.49390870	0.00100751	0.10840784
D548	0.02512507	0.00016209	0.00455358	0.06288756	0.07041462	0.72271717	0.00846242	0.10567751
D549	0.02630615	0.00951479	0.02587222	0.31157988	0.02915456	0.53667897	0.01389875	0.04699472
D550	0.03380238	0.00356890	0.00070905	0.26988244	0.00079900	0.55724365	0.01361348	0.12038109
D551	0.01570321	0.00625616	0.00064503	0.02582498	0.06392575	0.81088996	0.00034652	0.07640841
D552	0.11834564	0.00022632	0.00061540	0.19691165	0.17583774	0.50661492	0.00033060	0.00111782
D553	0.25525025	0.01405769	0.00059326	0.23964845	0.06156239	0.40258053	0.00031870	0.02598873
D554	0.05191878	0.00049799	0.00135411	0.06684954	0.05206786	0.74199402	0.01968067	0.06563707
D555	0.02089634	0.00135240	0.00367739	0.07860149	0.07277299	0.71110058	0.00197552	0.10962326
D556	0.00110465	0.00039954	0.00108642	0.07390975	0.11780725	0.61558878	0.04620307	0.14390051
D557	0.00344365	0.00124555	0.00338685	0.18300317	0.06702331	0.68652099	0.00181944	0.05355701
D558	0.38427806	0.00021757	0.00335188	0.14513804	0.27669296	0.13648407	0.00307809	0.05075936
D559	0.03805360	0.00135240	0.02083466	0.13007329	0.00414394	0.79688692	0.00197552	0.00667968
D560	0.01175192	0.00011272	0.00030651	0.47846237	0.03180613	0.01064808	0.40772420	0.05918812
D561	0.02971044	0.05771489	0.00102413	0.15567929	0.00115406	0.74275047	0.00055017	0.01141662
D562	0.03288778	0.00028123	0.00076470	0.21614206	0.14714174	0.59384704	0.00397861	0.00495683
D563	0.01056457	0.00068373	0.83458275	0.06576120	0.00209505	0.00386902	0.02702138	0.05542227
D564	0.00394197	0.01951409	0.67314410	0.15522000	0.00436881	0.02615636	0.00208272	0.11557196
D565	0.00380434	0.05374632	0.63218546	0.02760330	0.00421628	0.00778637	0.00201001	0.26864788
D566	0.01395358	0.00090307	0.70132083	0.05248635	0.00276712	0.00511016	0.07006000	0.15339886
D567	0.00197607	0.29087377	0.59132904	0.02340529	0.02032498	0.00404443	0.00104405	0.06700245
D568	0.00179685	0.30571812	0.59541351	0.06250796	0.00199141	0.00367762	0.00094936	0.02794524
D569	0.00125764	0.17358072	0.76876152	0.01489596	0.00716468	0.00257402	0.02951878	0.00224672
D570	0.00126494	0.11654467	0.86028904	0.01498242	0.00140191	0.00258896	0.00066833	0.00225976
D571	0.03895596	0.06519074	0.55166197	0.09488788	0.00130355	0.02939286	0.00062143	0.21798560
D572	0.02838527	0.07109688	0.70871192	0.12419655	0.00094983	0.00961930	0.02011584	0.03692450
D573	0.00210999	0.06853724	0.78631788	0.08308361	0.05074851	0.00431854	0.00111481	0.00376941
D574	0.01038441	0.00067207	0.00182748	0.34600726	0.30047935	0.29369679	0.00098173	0.04595089
D575	0.04661747	0.00044714	0.00121585	0.22453064	0.08645990	0.49037841	0.01199847	0.13835216
D576	0.00349894	0.00126555	0.58143556	0.05749819	0.16443178	0.03927210	0.00184865	0.15074927
D577	0.00373907	0.22439684	0.55270988	0.00997244	0.00414394	0.02481004	0.15639089	0.02383694
D578	0.05594201	0.00020782	0.00056510	0.32846394	0.10609857	0.26746696	0.00030358	0.24095199
D579	0.08848508	0.00043006	0.01753742	0.10137930	0.27957395	0.17156968	0.21886835	0.12215620
D580	0.15498659	0.00092425	0.00251318	0.26477587	0.10836134	0.36871991	0.00135010	0.09836882
D581	0.01551642	0.00023440	0.28611007	0.33180624	0.08992845	0.08161557	0.00034240	0.19444652
D582	0.00289475	0.29327241	0.48103401	0.07413542	0.01649116	0.00592470	0.01481240	0.11143511
D583	0.02256645	0.00080200	0.64317799	0.02626295	0.00245743	0.00453823	0.08256799	0.21762691
D584	0.00221734	0.00080200	0.66352713	0.02626296	0.00245743	0.00453823	0.08256800	0.21762694
D585	0.00310068	0.04380525	0.71444547	0.06518147	0.01766434	0.00634618	0.00163823	0.14781840
D586	0.00900274	0.00058265	0.48944563	0.03386376	0.00917716	0.07721542	0.00824295	0.37246969
D587	0.00719611	0.00260279	0.53540307	0.01919266	0.00797529	0.01472831	0.00380203	0.40909976
D588	0.07013190	0.00027342	0.00074348	0.66802526	0.07021376	0.07439195	0.00039940	0.11582078
D589	0.01827274	0.00023164	0.12993349	0.38668025	0.00658722	0.21583724	0.00033837	0.24211903
D590	0.00942606	0.00027292	0.07006316	0.51463521	0.00732313	0.16204059	0.00252755	0.23371144
D591	0.13676500	0.00042560	0.02110280	0.42957866	0.02837369	0.33068305	0.03784868	0.01522248
D592	0.00101008	0.01845459	0.16034918	0.46002421	0.01918537	0.02870036	0.00952773	0.30274853
D593	0.00101313	0.02153220	0.35120982	0.19549212	0.01017781	0.00159050	0.00049099	0.41849336
D594	0.36934251	0.01402057	0.03240443	0.13319802	0.19902791	0.18179446	0.00072886	0.06948323
D595	0.33700329	0.00044841	0.02937842	0.09893054	0.19422451	0.21622425	0.00058045	0.12321018
D596	0.38836491	0.00034491	0.01984954	0.10082608	0.19335933	0.16631591	0.00044647	0.13049287
D597	0.65460587	0.00035366	0.00344784	0.23862305	0.02921212	0.01838798	0.00045779	0.05491170
D598	0.04993455	0.62978107	0.00134026	0.19585583	0.00220508	0.00315314	0.11479770	0.00293231
D599	0.01120410	0.20470326	0.47532976	0.02315946	0.07913677	0.01758908	0.03884790	0.15002963
D600	0.01173952	0.04084738	0.02123285	0.18445757	0.34368962	0.13334915	0.17676347	0.08792042
D601	0.02095104	0.67235118	0.01557926	0.07100689	0.01144421	0.00254361	0.04911217	0.15701170
D602	0.01077492	0.00908235	0.30844510	0.08628700	0.00297022	0.06073351	0.43706241	0.08464447
D603	0.11160778	0.00599892	0.53640676	0.08091328	0.06538366	0.02515467	0.00776532	0.16676968
D604	0.00988301	0.00370007	0.00659482	0.02042871	0.04032794	0.66402543	0.00478957	0.25025046
D605	0.02727891	0.00078982	0.00140773	0.19942263	0.05894696	0.59478992	0.00102238	0.11634167
D606	0.13318294	0.00034586	0.00061644	0.23336305	0.01203580	0.13095400	0.12168524	0.36781672
D607	0.03292642	0.00176980	0.42614296	0.08026943	0.10388713	0.00742111	0.00229092	0.34529224
D608	0.12134337	0.01305859	0.00070815	0.39785856	0.07396744	0.27704880	0.01001026	0.10600487
D609	0.13376620	0.01718038	0.00672656	0.58647060	0.17242420	0.01938356	0.06135796	0.00269053
D610	0.00915046	0.01456595	0.83758533	0.10754250	0.00937531	0.00360691	0.00796635	0.01020719
D611	0.07058309	0.00120782	0.80081409	0.08364795	0.02278668	0.01468703	0.00156346	0.00470991
D612	0.00746307	0.00279408	0.69503587	0.08220617	0.00819344	0.10075558	0.00361680	0.09993505
D613	0.00289216	0.02696183	0.69203782	0.02323094	0.00317520	0.03904573	0.04453336	0.16812299
D614	0.00550310	0.03488813	0.84078205	0.01137520	0.03886949	0.04146704	0.01908087	0.00803416
D615	0.07889848	0.12559283	0.66318756	0.04094927	0.02174919	0.03110003	0.00960067	0.02892196
D616	0.01168776	0.02460213	0.02217091	0.46287933	0.01716816	0.00411495	0.04896551	0.40841115
D617	0.01937311	0.61118889	0.14833347	0.05358114	0.00534040	0.02214520	0.00235739	0.13768043
D618	0.01327432	0.32471722	0.09790439	0.18015188	0.02482938	0.00299183	0.00092359	0.35520738
D619	0.12781435	0.01872423	0.00134026	0.09401303	0.10404790	0.60222852	0.00097338	0.05085834
D620	0.01084179	0.00405902	0.03957204	0.11942288	0.01190281	0.69610661	0.00525421	0.11284062
D621	0.07134064	0.00067151	0.01189640	0.46378779	0.01266869	0.39334902	0.00086924	0.04541673
D622	0.02717835	0.00146084	0.00260372	0.20591502	0.00428380	0.58803582	0.00189098	0.16863145
D623	0.07389431	0.00033932	0.00060478	0.48846000	0.01180805	0.32581389	0.00314249	0.09593722
D624	0.01132315	0.00106442	0.00189717	0.10763739	0.13032202	0.69982702	0.00137784	0.04655097
D625	0.10707062	0.03225250	0.00117796	0.07736268	0.29152772	0.31868729	0.02191657	0.15000467
D626	0.18331806	0.00246487	0.00439326	0.05288326	0.06613950	0.67799860	0.00319066	0.00961184
D627	0.34077680	0.00034682	0.00061815	0.37492141	0.01483207	0.23354724	0.03360507	0.00135242
D628	0.00316520	0.00118501	0.00211210	0.15759447	0.19228975	0.59029484	0.03929690	0.01406172
D629	0.17744754	0.00035167	0.00342852	0.16444126	0.01223813	0.59263706	0.02286896	0.02658682
D630	0.02490422	0.00093726	0.00167052	0.14704636	0.44329712	0.37727642	0.00121323	0.00365486
D631	0.19395435	0.07559240	0.00400009	0.39778855	0.00447197	0.25668585	0.01360626	0.05390057
D632	0.00399493	0.00149565	0.00266577	0.10358219	0.27844369	0.53055602	0.01385161	0.06541011
D633	0.00671563	0.00251424	0.06457271	0.13406447	0.32786062	0.39112195	0.04331554	0.02983486
D634	0.01829815	0.00052979	0.00094428	0.22240482	0.06064429	0.49605098	0.00068579	0.20044187
D635	0.04254658	0.00043294	0.00422084	0.26452810	0.05990565	0.47780237	0.00400961	0.14655387
D636	0.00189500	0.00070946	0.00126451	0.37130666	0.22251420	0.33645162	0.00091837	0.06494019
D637	0.14208277	0.00043146	0.00420633	0.47329569	0.07688637	0.22179800	0.00055850	0.08074096
D638	0.05368222	0.00038870	0.07811043	0.04549995	0.00733325	0.02330684	0.41236490	0.37931374
D639	0.47369304	0.01563021	0.00983070	0.30706218	0.09565660	0.05649584	0.00049548	0.04113599
D640	0.23394337	0.00144403	0.00257377	0.33009359	0.00423452	0.38569754	0.01337355	0.02863968
D641	0.23222126	0.30385235	0.06026943	0.10373362	0.00340383	0.00130954	0.17456660	0.12064341
D642	0.02587007	0.55168605	0.04827438	0.09845360	0.06490713	0.08164765	0.06331239	0.06584871
D643	0.01172072	0.00110180	0.17751957	0.08508330	0.03834210	0.57517636	0.00142622	0.10962995
D644	0.00819253	0.10080956	0.00546678	0.11467678	0.03342988	0.28165284	0.00397032	0.45180130
D645	0.00143325	0.11168385	0.00095639	0.08418559	0.54876000	0.08347302	0.03489374	0.13461417
D646	0.03106683	0.00551932	0.09426910	0.09166665	0.31074375	0.32623118	0.07925741	0.06124575
D647	0.02816502	0.00081547	0.00145346	0.01099908	0.00239132	0.76353532	0.00105559	0.19158475
D648	0.16996735	0.14794143	0.31359246	0.03082486	0.15235773	0.02778997	0.14861435	0.00891183
D649	0.00508572	0.00190403	0.00339364	0.16220251	0.00558343	0.69058919	0.00246467	0.12877686
D650	0.00568989	0.00213022	0.00379680	0.19844276	0.05715984	0.63686091	0.00275747	0.09316206
D651	0.01322036	0.00038277	0.01288019	0.50527889	0.07735966	0.14188150	0.04013883	0.20885783
D652	0.00248489	0.00093031	0.63164288	0.12372175	0.00272807	0.01131255	0.09014326	0.13703631
D653	0.23756440	0.00241740	0.00430865	0.10964163	0.37300897	0.10643140	0.00312921	0.16349834
D654	0.00419487	0.00157050	0.30308482	0.05871863	0.15474822	0.00658544	0.11464005	0.35645747
D655	0.49188998	0.00090352	0.00161039	0.24972680	0.18980235	0.00378865	0.00116957	0.06110880
D656	0.52866101	0.00061252	0.00109173	0.17905681	0.19699058	0.00744830	0.00079288	0.08534618
D657	0.38632262	0.00023731	0.00042298	0.18281084	0.37125963	0.04826089	0.00030719	0.01037857
D658	0.12423884	0.00061553	0.00109709	0.09657044	0.07045805	0.47824869	0.00079677	0.22797461
D659	0.05820400	0.02597215	0.01187260	0.08455307	0.21294962	0.59626931	0.00049221	0.00968704
D660	0.39784646	0.00874442	0.00043373	0.11217887	0.29333869	0.18303411	0.00332250	0.00110123
D661	0.41279727	0.00059125	0.00106413	0.09441362	0.30938739	0.17089304	0.00119733	0.00965596
D662	0.21620011	0.00062608	0.00112682	0.12206713	0.27606672	0.25459895	0.00126786	0.12804632
D663	0.14001523	0.00016451	0.00029609	0.10560506	0.07254175	0.62611270	0.00033315	0.05493148
D664	0.00375451	0.51237714	0.12686010	0.06864972	0.01554804	0.00599365	0.00179725	0.26501963
D665	0.02103495	0.01210768	0.00060055	0.11607813	0.18638045	0.59487838	0.02029907	0.04862081
D666	0.01238337	0.00077433	0.15622255	0.28758600	0.15928689	0.35131755	0.00156809	0.03086117
D667	0.06513896	0.00036057	0.02185348	0.06605870	0.75695729	0.01939869	0.03041652	0.03981581
D668	0.00752483	0.00177873	0.00320136	0.03298314	0.76340032	0.01201255	0.00360207	0.17549700
D669	0.01563506	0.00899951	0.00336355	0.15045729	0.54985487	0.06001828	0.00633659	0.20533487
D670	0.02297001	0.00044795	0.01661245	0.08733756	0.62955928	0.00302522	0.00617588	0.23387165
D671	0.44970575	0.00025095	0.00045166	0.15813686	0.17854111	0.13746864	0.03002425	0.04542083
D672	0.00785344	0.00185640	0.00334116	0.07809293	0.36004320	0.25271904	0.00375937	0.29233444
D673	0.04145530	0.00259221	0.46200180	0.01757844	0.01492382	0.04799541	0.15769488	0.25575814
D674	0.02964445	0.06684244	0.47651368	0.09721615	0.01376936	0.05848597	0.12816565	0.12936223
D675	0.09175932	0.00068677	0.07393476	0.00465715	0.00395385	0.05310385	0.00139076	0.77051353
D676	0.09101474	0.00062608	0.03058220	0.02633715	0.04042369	0.07050281	0.00863171	0.73188162
D677	0.01770444	0.00110706	0.00199249	0.07261262	0.65742695	0.11164503	0.00224189	0.13526954
D678	0.21760523	0.00149688	0.14354259	0.09818106	0.04382995	0.04532123	0.44318286	0.00684020
D679	0.07682445	0.61676276	0.14773721	0.09996540	0.00510948	0.00599365	0.00179725	0.04580978
D680	0.01398350	0.00018694	0.05310707	0.67409295	0.05384687	0.00785883	0.10811856	0.08880527
D681	0.00117619	0.04278967	0.03320166	0.10979955	0.08989406	0.71476513	0.00710328	0.00127049
D682	0.00621428	0.00038858	0.00069937	0.07119125	0.11192703	0.75674230	0.04192062	0.01091649
D683	0.01000717	0.00460147	0.00064895	0.03213144	0.11233943	0.78276199	0.02617562	0.03133400
D684	0.03670687	0.00867681	0.01561653	0.46706060	0.25406447	0.16065361	0.01757126	0.03964986
D685	0.00132821	0.00031396	0.00056507	0.02059297	0.08674151	0.88100225	0.00802136	0.00143470
D686	0.01103691	0.00039767	0.05684331	0.00737399	0.13325381	0.67621666	0.04757830	0.06729937
D687	0.32402408	0.46916834	0.09352124	0.02722942	0.00239006	0.03698357	0.03990347	0.00677990
D688	0.07102851	0.02250652	0.00048609	0.61492187	0.03967451	0.24324815	0.00054693	0.00758743
D689	0.04891286	0.00512289	0.00072248	0.61651278	0.02119693	0.20101257	0.04802758	0.05849195
D690	0.24231321	0.00059959	0.02223590	0.39899227	0.03871322	0.27908725	0.00121422	0.01684441
D691	0.00850869	0.03182143	0.00721546	0.24766517	0.05938400	0.58557564	0.00107744	0.05875216
D692	0.04189549	0.00056009	0.01418340	0.78773147	0.02298757	0.09600999	0.00113423	0.03549778
D693	0.02852051	0.00072175	0.00129900	0.14920844	0.00415523	0.81133533	0.00146160	0.00329812
D694	0.01828551	0.00024445	0.01194088	0.01890907	0.03878532	0.86709428	0.02062163	0.02411888
D695	0.00159999	0.00037821	0.00068070	0.03370371	0.14897548	0.77213192	0.04080174	0.00172828
D696	0.03899580	0.00970514	0.00136871	0.13932684	0.15643737	0.64915097	0.00154004	0.00347512
D697	0.07687868	0.00039954	0.00071909	0.07789782	0.04459371	0.78747779	0.00550837	0.00652501
D698	0.00195691	0.00046258	0.04979918	0.09562938	0.08427420	0.75938648	0.00093675	0.00755454
D699	0.00162898	0.00038506	0.00069303	0.07507543	0.48229235	0.43738583	0.00077978	0.00175958
D700	0.02139208	0.00041718	0.01056445	0.03226984	0.35078490	0.51312506	0.06954009	0.00190636
D701	0.10507435	0.00039954	0.00071909	0.10139421	0.02579660	0.56661171	0.00080909	0.19919544
D702	0.05713259	0.00357251	0.63671851	0.06624537	0.06258686	0.15018450	0.00723462	0.01632506
D703	0.02033154	0.00346875	0.00048920	0.29915908	0.04951902	0.52933156	0.00055043	0.09715041
D704	0.11203606	0.00049202	0.00088554	0.28690362	0.23431599	0.28110287	0.00099639	0.08326752
D705	0.30120096	0.00024306	0.00043745	0.43904278	0.03570478	0.21319176	0.00049221	0.00968704
D706	0.17951998	0.00024875	0.08529298	0.28547966	0.11846005	0.08359948	0.22870830	0.01869087
D707	0.01102261	0.57442856	0.12189366	0.03141927	0.05081874	0.00844552	0.05305856	0.14891313
D708	0.02096215	0.00021319	0.03298161	0.17446536	0.12409642	0.00143978	0.00043173	0.64540976
D709	0.00093960	0.00022210	0.00039974	0.22094266	0.14756970	0.00149996	0.00044978	0.62797648
D710	0.03215228	0.00042983	0.11199786	0.02313741	0.00247464	0.00290287	0.73899496	0.08791019
D711	0.00939012	0.00058717	0.17371038	0.01088787	0.01719271	0.00396539	0.74014640	0.04412000
D712	0.08709581	0.00040333	0.00072591	0.04542984	0.17310113	0.65737712	0.01030450	0.02556238
D713	0.12244114	0.00019509	0.00035113	0.07245674	0.13191754	0.52678961	0.06923421	0.07661455
D714	0.04294661	0.00068126	0.00122614	0.00461983	0.35649016	0.55749160	0.00137961	0.03516477
D715	0.48365662	0.00068126	0.05731650	0.02064565	0.12411581	0.29306564	0.00137961	0.01913895
D716	0.35565212	0.00090642	0.00163137	0.26201397	0.09050753	0.28331104	0.00183557	0.00414200
D717	0.06780949	0.00244322	0.37797537	0.01656814	0.35890737	0.04523695	0.03368450	0.09737495
D718	0.47572580	0.02013942	0.00043497	0.19777378	0.00423390	0.00163214	0.02322969	0.27683029
D719	0.21397705	0.01932988	0.00048609	0.71339750	0.00155490	0.01453051	0.00054693	0.03617714
D720	0.13805114	0.00125402	0.00225698	0.00850384	0.12521613	0.03796808	0.23853250	0.44821727
D721	0.01730052	0.00027444	0.00049394	0.22458637	0.25335646	0.47635522	0.00055576	0.02707731
D722	0.00165142	0.00039036	0.00070258	0.49851808	0.24559146	0.22302338	0.00079052	0.02933221
D723	0.01913829	0.00037323	0.00945142	0.37127769	0.23920022	0.33614859	0.00953550	0.01487504
D724	0.00525380	0.03510460	0.00059127	0.25725234	0.57762861	0.00608266	0.04316938	0.07491738
D725	0.01816675	0.50938004	0.00772884	0.07962921	0.17624870	0.07950976	0.00869626	0.12064043
D726	0.01236737	0.00044560	0.00080200	0.14977334	0.29606861	0.46422863	0.02186690	0.05444753
D727	0.38914937	0.00021160	0.09744439	0.17067392	0.00370703	0.05618283	0.27419749	0.00843336
D728	0.00633249	0.00149688	0.03790621	0.37987804	0.02622389	0.53829098	0.00303131	0.00684020
D729	0.05783717	0.22267963	0.19983570	0.01413157	0.01199748	0.01407360	0.00422009	0.47522476
D730	0.25358564	0.00033499	0.08728582	0.36870393	0.04921020	0.02984328	0.18192445	0.02911172
D731	0.02723432	0.00043202	0.00077755	0.57712066	0.05330058	0.23665911	0.00087487	0.10360090
D732	0.00823857	0.00020849	0.02980153	0.44526035	0.03062659	0.03819087	0.04456164	0.40311202
D733	0.00450730	0.00106544	0.65355796	0.03228813	0.03119704	0.00719540	0.05228379	0.21790496
D734	0.16887072	0.08837688	0.00148855	0.08343059	0.47169390	0.04449655	0.06976917	0.07187367
D735	0.27535135	0.00018097	0.00032571	0.13319866	0.39057052	0.04592219	0.01100934	0.14344127
D736	0.01712410	0.02964486	0.79211986	0.04046883	0.01806608	0.00416683	0.08833307	0.01007640
D737	0.25847977	0.00062150	0.00111858	0.44281551	0.20825855	0.01150730	0.00125859	0.07594020
D738	0.07858641	0.00031281	0.00056299	0.08674271	0.05330962	0.59446287	0.00063346	0.18538916
D739	0.00694375	0.36844650	0.00295414	0.04974164	0.08667183	0.18483473	0.02262945	0.27777794
D740	0.48245960	0.00042131	0.00571372	0.03754510	0.01729190	0.25061712	0.01571950	0.19023181
D741	0.40614784	0.00031867	0.02306242	0.07712390	0.02807166	0.09210761	0.04937122	0.32379669
D742	0.04386128	0.22463441	0.07719567	0.12224382	0.00909839	0.04784850	0.02178818	0.45332974
D743	0.00560002	0.04153657	0.00063024	0.11769650	0.30679533	0.48836431	0.01306504	0.02631199
D744	0.21305050	0.00023116	0.00041604	0.64050418	0.08017834	0.02603105	0.01134364	0.02824511
D745	0.31694847	0.00026586	0.01924030	0.30511874	0.08595873	0.22693713	0.00053838	0.04499242
D746	0.24226594	0.00072584	0.00038555	0.39581221	0.08200183	0.15519755	0.01203696	0.11157417
D747	0.07731596	0.04166752	0.01686470	0.48447713	0.14616413	0.16159487	0.00491211	0.06700360
D748	0.42809966	0.04623571	0.00273050	0.21417961	0.11499868	0.16763172	0.00305639	0.02306775
D749	0.07900249	0.00139501	0.00445846	0.45217413	0.03864308	0.34660563	0.01941672	0.05830448
D750	0.13286692	0.01386630	0.00033002	0.47124973	0.17615040	0.09641921	0.05831632	0.05080119
D751	0.41524416	0.00128513	0.00068263	0.31381848	0.17600971	0.05218235	0.03501055	0.00576700
D752	0.22599837	0.00124258	0.00066003	0.26038098	0.21985029	0.21932800	0.00073880	0.07180096
D753	0.18506020	0.00104821	0.00055679	0.14981896	0.38378382	0.09284134	0.15425403	0.03263669
D754	0.00354587	0.07570668	0.59434730	0.00894851	0.16049089	0.01742654	0.03131105	0.10822323
D755	0.16561846	0.07753237	0.00927983	0.46681362	0.23373321	0.00100128	0.03047715	0.01554411
D756	0.03157585	0.01493257	0.00750622	0.36052883	0.22660334	0.27725935	0.00076150	0.08083235
D757	0.00786724	0.10547312	0.09997552	0.08235191	0.26233551	0.13241106	0.00697224	0.30261338
D758	0.12781201	0.02691990	0.00037328	0.59294879	0.04006552	0.10531308	0.00416314	0.10240422
D759	0.10851263	0.00477519	0.00069211	0.76261979	0.00137164	0.01471280	0.10494097	0.00237489
D760	0.00381449	0.47537458	0.00302010	0.03992893	0.09689280	0.00359546	0.00338054	0.37399316
D761	0.00209799	0.55312198	0.25165874	0.03029433	0.01995843	0.00197752	0.03519233	0.10569876
D762	0.06089310	0.00680588	0.06647351	0.55196202	0.11287939	0.08377424	0.01210059	0.10511132
D763	0.00314696	0.50468361	0.02749123	0.10794040	0.10493644	0.01546608	0.00278896	0.23354633
D764	0.00217033	0.39978287	0.00171834	0.07444198	0.14133511	0.08825177	0.00192343	0.29037625
D765	0.00196686	0.45605269	0.00155725	0.09090040	0.12808506	0.09560310	0.00174311	0.22409154
D766	0.06982487	0.14527056	0.00059859	0.29319826	0.01620125	0.21692811	0.00367302	0.25430536
D767	0.00723556	0.59176058	0.01271280	0.14239995	0.05430619	0.00137169	0.00128970	0.18892343
D768	0.02769138	0.28792125	0.00192508	0.10695864	0.06644456	0.14805320	0.00035814	0.36064780
D769	0.03251724	0.21375017	0.00199328	0.02635324	0.00395029	0.21237063	0.00223117	0.50683397
D770	0.00148970	0.39275038	0.00117946	0.09843340	0.19168532	0.00140416	0.00723735	0.30582029
D771	0.00171264	0.36309421	0.00135597	0.07915146	0.06391130	0.00841697	0.00151781	0.48083967
D772	0.18593089	0.00998003	0.19411391	0.01947618	0.01426478	0.00099707	0.47992679	0.09531035
D773	0.00412715	0.48155269	0.00326764	0.15795369	0.10483468	0.00389016	0.00365763	0.24071637
D774	0.02231646	0.42873368	0.02586394	0.21245013	0.05900723	0.00043225	0.00040641	0.25078997
D775	0.00340212	0.72127628	0.00269360	0.04912566	0.04587813	0.00320676	0.00301508	0.17140239
D776	0.00066780	0.00099538	0.01113877	0.51362008	0.26099402	0.13856007	0.01120188	0.06282201
D777	0.01496223	0.04950200	0.07464173	0.24682358	0.29457179	0.00067608	0.02057862	0.29824397
D778	0.00173627	0.58189380	0.00137468	0.08713970	0.00272435	0.00853307	0.00153874	0.31505942
D779	0.00393369	0.00586332	0.26873478	0.18179919	0.02179701	0.00370781	0.22223233	0.29193190
D780	0.05491947	0.03354198	0.22436769	0.21061257	0.22914083	0.05456689	0.10300007	0.08985049
D781	0.05336754	0.00109725	0.00058283	0.74162143	0.03624267	0.00069387	0.09714330	0.06925115
D782	0.00070521	0.00105114	0.22744839	0.17544861	0.01231098	0.00066472	0.36196837	0.22040260
D783	0.01217161	0.05608214	0.02269894	0.03586656	0.08862126	0.07155256	0.00120604	0.71180093
D784	0.00066780	0.38030457	0.04562142	0.07595562	0.00370034	0.00062945	0.02711695	0.46600384
D785	0.31290257	0.00756449	0.01018891	0.35871002	0.27195773	0.00394044	0.02937289	0.00536295
D786	0.17785113	0.00386861	0.35256630	0.15087819	0.02469078	0.00244641	0.00230018	0.28539845
D787	0.35556883	0.02375285	0.03109270	0.07415599	0.27331042	0.00237486	0.17893076	0.06081363
D788	0.30561304	0.00664420	0.00432938	0.11148667	0.04802161	0.00046713	0.52012312	0.00331490
D789	0.00645521	0.36858568	0.00511087	0.01629066	0.11268990	0.10864567	0.00572085	0.37650114
D790	0.05049714	0.22475965	0.00191661	0.01572439	0.00379836	0.25227901	0.00214536	0.44887942
D791	0.00412715	0.00615168	0.00326764	0.55138898	0.20319350	0.08585585	0.11840960	0.02760558
D792	0.17571492	0.00648704	0.00094023	0.64450300	0.04903292	0.00583631	0.01520331	0.10228234
D793	0.00073830	0.00403300	0.01817979	0.09570453	0.00995608	0.06521182	0.09449563	0.71168083
D794	0.27648920	0.02277641	0.00084461	0.26116550	0.00167386	0.00100552	0.01365722	0.42238772
D795	0.41017649	0.00586332	0.00311447	0.02555196	0.17804424	0.33182698	0.00348618	0.04193631
D796	0.00276657	0.13599016	0.54064524	0.08390394	0.00434097	0.01359658	0.04640733	0.17234918
D797	0.00513785	0.08928894	0.63670629	0.05378150	0.00806172	0.04565821	0.00455336	0.15681213
D798	0.04037790	0.01210469	0.29674172	0.02049455	0.07725632	0.03991158	0.03945403	0.47365919
D799	0.00513785	0.17091972	0.53466785	0.07418919	0.00806172	0.10688129	0.02496105	0.07518136
D800	0.00058685	0.58828574	0.02144360	0.11803082	0.09416068	0.00055316	0.07744296	0.09949618
D801	0.05038670	0.01283363	0.00075790	0.08606562	0.50340104	0.28226990	0.01225516	0.05203009
D802	0.02571536	0.52969742	0.04680595	0.16182686	0.05459210	0.00438759	0.00433729	0.17263752
D803	0.00065054	0.62370688	0.03669067	0.06624103	0.00102076	0.00061319	0.00832845	0.26274851
D804	0.00353604	0.60275304	0.03446127	0.06676633	0.00111591	0.00067035	0.01757938	0.27311769
D805	0.00490884	0.00931470	0.26352564	0.00641313	0.00154914	0.00093060	0.59302920	0.12032877
D806	0.12893148	0.03711277	0.00311447	0.07242613	0.02179701	0.50369900	0.00348618	0.22943300
D807	0.00900700	0.02550092	0.29279602	0.00254141	0.00958009	0.00094921	0.51689011	0.14273524
D808	0.11170038	0.00316839	0.00151284	0.71845472	0.01878397	0.13591982	0.00157932	0.00888059
D809	0.23153058	0.00028212	0.00013470	0.55330455	0.10323218	0.03056780	0.00014062	0.08080743
D810	0.30630699	0.00292726	0.01084318	0.22198804	0.01754598	0.42348838	0.00012252	0.01677767
D811	0.00062644	0.00024780	0.02444710	0.68603510	0.07175224	0.15660292	0.00012352	0.06016490
D812	0.04385202	0.60262555	0.18658213	0.00281965	0.00553347	0.00692807	0.02884462	0.12281455
D813	0.12363758	0.08179003	0.00044242	0.22021633	0.26829946	0.30255526	0.00046186	0.00259708
D814	0.66854477	0.00028212	0.00013470	0.24247055	0.03552575	0.03056780	0.00014062	0.02233369
D815	0.04560880	0.04274624	0.00089450	0.01607306	0.11328857	0.77520412	0.00093381	0.00525084
D816	0.21852569	0.00711616	0.00014891	0.17958729	0.00184894	0.58834130	0.00015546	0.00427628
D817	0.04248132	0.00031837	0.00015201	0.27710164	0.05398306	0.55197877	0.00015869	0.07382618
D818	0.00072434	0.05654844	0.01263946	0.40879434	0.18923840	0.17482598	0.00014282	0.15708619
D819	0.08519776	0.00241664	0.00115390	0.31072503	0.01432719	0.47275016	0.00120460	0.11222478
